Region_ID,Production_Variability
2.0190012019003263e+22,2795.2657891911144
2.0190012019002827e+22,2783.7534307070014
2.019001201900499e+22,2780.482696417327
2.019001201900624e+22,2949.504172552594
2.019005201900528e+22,2699.5731857059623
2.0190022019003774e+22,2972.386151729327
2.0190032019001182e+22,2992.897415131364
2.019002201900488e+22,2807.9044263911323
2.0190012019004647e+22,2901.064232089827
2.019001201900363e+22,2788.052674608012
2.019001201900497e+22,2949.670408094588
2.019001201900689e+22,2843.1233958291723
2.019001201900242e+22,2846.4516318275964
2.0190022019005544e+22,2952.4755573120233
2.019002201900264e+22,2832.5731805426053
2.0190022019001694e+22,2669.4542844276816
2.019005201900211e+22,2650.6789433420795
2.0190042019002755e+22,2845.8225444372115
2.020001202000442e+22,2718.736904103198
2.020001202000279e+22,2980.5625546618894
2.020001202000263e+22,2838.46407957997
2.020001202000633e+22,2869.966060955116
2.020001202000487e+22,2712.9459639911747
2.0200022020004755e+22,2760.479840771013
2.020001202000445e+22,2732.9269662864313
2.0200022020003723e+22,2829.711527546999
2.020001202000373e+22,2970.5987230410865
2.0200012020006764e+22,2867.546294743235
2.0200052020005225e+22,2736.5744527925935
2.0200022020002335e+22,2678.939508969065
2.0200022020001865e+22,2933.924210063939
2.0200022020005606e+22,2590.9903626571218
2.0200042020002553e+22,2780.3868685650364
2.020003202000182e+22,3107.52724551165
2.020005202000251e+22,2999.344303271295
2.0200012020003417e+22,3083.9828521284326
2.0210022021001755e+22,2335.663243004484
2.021001202100292e+22,2744.5426333451105
2.021001202100433e+22,2686.3804449648014
2.0210012021006604e+22,3016.647336094079
2.021001202100431e+22,2922.182337594508
2.021004202100255e+22,2915.3520280546973
2.0210022021004993e+22,2945.3060482777105
2.0210012021002586e+22,2818.2498326157593
2.021002202100356e+22,2858.826285627678
2.0210012021003395e+22,2890.2629463232042
2.0210012021006558e+22,2945.191457565592
2.0210032021001432e+22,3210.7353256843235
2.0210012021003303e+22,3200.7271736278935
2.021002202100212e+22,2621.8774199446125
2.0210052021005995e+22,3115.096399212854
2.0210052021002955e+22,2490.879479540755
2.0210022021005803e+22,2584.424060581963
2.021001202100497e+22,2763.345301743281
2.022004202200267e+22,3064.693801544002
2.02200520220025e+22,2845.2025676639732
2.0220012022002526e+22,2795.2908986912635
2.0220022022003675e+22,2827.2837196496116
2.0220012022004628e+22,3109.2861011684445
2.0220012022002887e+22,2796.8731938326287
2.022002202200299e+22,2808.0183081954774
2.022001202200455e+22,2667.240507917213
2.0220022022001176e+22,3057.2859809004476
2.0220012022003176e+22,2821.9808497558747
2.022001202200631e+22,2756.6054950926587
2.0220022022004854e+22,2844.6153076055625
2.022001202200619e+22,2815.4547364537316
2.0220012022004787e+22,2911.442049149451
2.0220012022003407e+22,2721.0410268355417
2.0220022022005294e+22,2911.127421138274
2.022005202200566e+22,2773.3460674286976
2.022003202200174e+22,2474.489770288794
2.023001202300273e+22,2772.88580193983
2.023005202300223e+22,2600.771601501578
2.0230012023006808e+22,2736.522321685495
2.0230012023006497e+22,2992.3825757731206
2.0230012023004333e+22,2809.302513852717
2.0230012023003192e+22,2722.3938681486434
2.023002202300343e+22,2819.484039541348
2.0230012023004656e+22,2708.811168115349
2.0230012023002517e+22,2932.5224245347727
2.023004202300212e+22,3101.9483504743303
2.023002202300428e+22,2905.4623095416932
2.023002202300251e+22,3000.2801753854014
2.023002202300526e+22,2609.463579640342
2.0230052023005147e+22,2879.2210027886545
2.0230012023003725e+22,2662.3373515265366
2.023001202300419e+22,2634.6887621374435
2.0230022023001506e+22,3095.4586442587097
2.023003202300158e+22,2689.2901118242257
2.024002202400339e+22,2834.5739014765695
2.024002202400443e+22,2918.4054356705315
2.024002202400574e+22,3092.729986846887
2.024001202400685e+22,2798.9611868811826
2.0240052024002226e+22,3240.469959057722
2.0240042024002294e+22,3073.5675635502685
2.024001202400238e+22,2824.1799637006484
2.0240012024004466e+22,2915.923906049608
2.0240012024004127e+22,3001.2684805060335
2.0240012024002764e+22,2758.901329653979
2.024001202400626e+22,2783.799147646179
2.024002202400123e+22,2956.628565143451
2.0240022024002185e+22,2794.7655059044214
2.024001202400316e+22,2798.72664617322
2.024003202400166e+22,2838.647283662003
2.0240012024003145e+22,2961.6104689378417
2.0240012024004592e+22,3003.730632064068
2.0240052024005246e+22,2742.5962301434793
